concept,members,concept_rows,decision,kind,numbered_variant,metric_id,rows,unit,handbook_text,example_context
3 6 months within,3,828,,DIFFERENT UNITS,,within_3_6_months__count,272,COUNT,Within 3-6 months (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
dividend gross interest rent,2,1865,,SAME-UNIT DUPLICATE,,interest_dividend_rent_gross__inr,1445,INR,"Interest, Dividend & Rent – Gross (₹Crore)",Policyholders Account|Fire / Policyholders Account|Life
dividend gross interest rent,2,1865,,SAME-UNIT DUPLICATE,,a_interest_dividend_rent_gross__inr,420,INR,"(a) Interest, Dividend & Rent – Gross (₹Crore)",Shareholders Account|General
total,2,1457,,SAME-UNIT DUPLICATE,,total__inr,777,INR,TOTAL (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
total,2,1457,,SAME-UNIT DUPLICATE,YES,total_2__inr,680,INR,TOTAL (2) (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
agent corporate,2,814,,DIFFERENT UNITS,,corporate_agent__inr,541,INR,Corporate Agent (₹),Avg New Business Premium per Agent|General / Avg Premium per Policy|Ge
agent corporate,2,814,,DIFFERENT UNITS,,corporate_agent__count,273,COUNT,Corporate Agent (Nos.),Avg Individual Policies Sold per Agent|General
agent individual,2,801,,DIFFERENT UNITS,,individual_agent__inr,535,INR,Individual Agent (₹),Avg New Business Premium per Agent|General / Avg Premium per Policy|Ge
agent individual,2,801,,DIFFERENT UNITS,,individual_agent__count,266,COUNT,Individual Agent (Nos.),Avg Individual Policies Sold per Agent|General
bad debts off written,2,615,,SAME-UNIT DUPLICATE,,b_bad_debts_written_off__inr,366,INR,(b) Bad debts written off (₹Crore),Shareholders Account|General
bad debts off written,2,615,,SAME-UNIT DUPLICATE,,bad_debts_written_off__inr,249,INR,Bad debts written off (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
premium,2,613,,SAME-UNIT DUPLICATE,,premium__inr,372,INR,Premium (₹lakh),Group Category|All Classes / Individual Category|All Classes
premium,2,613,,SAME-UNIT DUPLICATE,,a_premium__inr,241,INR,(a) Premium (₹Lakh),Policyholders Account|Premiums earned – net
booked claims intimated,2,568,,SAME-UNIT DUPLICATE,YES,claims_intimated_booked_2__inr,284,INR,Claims intimated / booked (2) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
booked claims intimated,2,568,,SAME-UNIT DUPLICATE,,claims_intimated_booked__inr,284,INR,Claims intimated / booked (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims end pending year,2,568,,SAME-UNIT DUPLICATE,YES,claims_pending_at_end_of_year_2__inr,284,INR,Claims pending at end of year (2) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims end pending year,2,568,,SAME-UNIT DUPLICATE,,claims_pending_at_end_of_year__inr,284,INR,Claims pending at end of year (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims paid,2,568,,SAME-UNIT DUPLICATE,YES,claims_paid_2__inr,284,INR,Claims paid (2) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims paid,2,568,,SAME-UNIT DUPLICATE,,claims_paid__inr,284,INR,Claims paid (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims pending start year,2,568,,SAME-UNIT DUPLICATE,YES,claims_pending_at_start_of_year_2__inr,284,INR,Claims pending at start of year (2) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims pending start year,2,568,,SAME-UNIT DUPLICATE,,claims_pending_at_start_of_year__inr,284,INR,Claims pending at start of year (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims rejected repudiated,2,568,,SAME-UNIT DUPLICATE,,claims_repudiated_rejected__inr,448,INR,Claims repudiated / rejected (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
claims rejected repudiated,2,568,,SAME-UNIT DUPLICATE,YES,claims_repudiated_rejected_2__inr,120,INR,Claims repudiated/rejected (2) (₹Lakh),Micro-Insurance Death Claims - Individual|Benefit Amount (₹Lakh)
unclaimed,2,564,,SAME-UNIT DUPLICATE,,unclaimed__inr,444,INR,Unclaimed (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
unclaimed,2,564,,SAME-UNIT DUPLICATE,YES,unclaimed_2__inr,120,INR,Unclaimed (2) (₹Lakh),Micro-Insurance Death Claims - Individual|Benefit Amount (₹Lakh)
covered lives,2,562,,DIFFERENT UNITS,,lives_covered__count,338,COUNT,Lives Covered (Nos.),Life Group New Business by Channel (2024-25)|Brokers / Life Group New 
covered lives,2,562,,DIFFERENT UNITS,,of_lives_covered__inr,224,INR,of Lives covered (₹Lakh),Group Category|All Classes
schemes,2,562,,DIFFERENT UNITS,,schemes__count,338,COUNT,Schemes (Nos.),Life Group New Business by Channel (2024-25)|Brokers / Life Group New 
schemes,2,562,,DIFFERENT UNITS,,of_schemes__inr,224,INR,of Schemes (₹Lakh),Group Category|All Classes
1 month within,2,546,,SAME-UNIT DUPLICATE,YES,within_1_month_2__count,273,COUNT,Within 1 month (2) (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
1 month within,2,546,,SAME-UNIT DUPLICATE,,within_1_month__count,273,COUNT,Within 1 month (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
1 3 months within,2,545,,SAME-UNIT DUPLICATE,YES,within_1_3_months_2__count,273,COUNT,Within 1-3 months (2) (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
1 3 months within,2,545,,SAME-UNIT DUPLICATE,,within_1_3_months__count,272,COUNT,Within 1-3 months (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
dividend final proposed,2,500,,SAME-UNIT DUPLICATE,,b_proposed_final_dividend__inr,332,INR,(b) Proposed final dividend (₹Crore),Shareholders Account|General
dividend final proposed,2,500,,SAME-UNIT DUPLICATE,,c_proposed_final_dividend__inr,168,INR,(c) Proposed final dividend (₹Lakh),Shareholders Account|Income From Investments
dividends during interim paid year,2,466,,SAME-UNIT DUPLICATE,,a_interim_dividends_paid_during_the_year__inr,331,INR,(a) Interim dividends paid during the year (₹Crore),Shareholders Account|General
dividends during interim paid year,2,466,,SAME-UNIT DUPLICATE,,b_interim_dividends_paid_during_the_year__inr,135,INR,(b) Interim dividends paid during the year (₹Lakh),Shareholders Account|Income From Investments
insurance miscellaneous,2,433,,SAME-UNIT DUPLICATE,,c_miscellaneous_insurance__inr,327,INR,(c ) Miscellaneous Insurance (₹Crore),Shareholders Account|General
insurance miscellaneous,2,433,,SAME-UNIT DUPLICATE,,d_miscellaneous_insurance__inr,106,INR,(d) Miscellaneous Insurance (₹Crore),Shareholders Account|General
business end financial force year,2,430,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_a__count,215,COUNT,Business in force at end of the financial year (A) ('000s),In-Force Policies|Non Linked Life Business
business end financial force year,2,430,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_a__inr,215,INR,Business in force at end of the financial year (A) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business e end financial force year,2,427,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_e__count,215,COUNT,Business in force at end of the financial year (E) ('000s),In-Force Policies|Linked Business - Life business
business e end financial force year,2,427,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_e__inr,212,INR,Business in force at end of the financial year (E) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business end financial force g year,2,427,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_g__count,215,COUNT,Business in force at end of the financial year (G) ('000s),In-Force Policies|Linked General annuity business
business end financial force g year,2,427,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_g__inr,212,INR,Business in force at end of the financial year (G) (₹Crore),In-Force Sum Assured|Non Linked Life Business
b business end financial force year,2,426,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_b__count,215,COUNT,Business in force at end of the financial year (B) ('000s),In-Force Policies|Non Linked -General Annuity Business
b business end financial force year,2,426,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_b__inr,211,INR,Business in force at end of the financial year (B) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business d end financial force year,2,426,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_d__count,214,COUNT,Business in force at end of the financial year ( D) ('000s),In-Force Policies|Non linked Health Business
business d end financial force year,2,426,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_d__inr,212,INR,Business in force at end of the financial year ( D) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business c end financial force year,2,421,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_c__count,212,COUNT,Business in force at end of the financial year (C) ('000s),In-Force Policies|Non Linked - Pension Business
business c end financial force year,2,421,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_c__inr,209,INR,Business in force at end of the financial year (C) (₹Crore),In-Force Sum Assured|Non Linked Life Business
distribution dividend tax,2,419,,SAME-UNIT DUPLICATE,,c_dividend_distribution_tax__inr,288,INR,(c) Dividend distribution tax (₹Crore),Shareholders Account|General
distribution dividend tax,2,419,,SAME-UNIT DUPLICATE,,d_dividend_distribution_tax__inr,131,INR,(d) Dividend distribution tax (₹Lakh),Shareholders Account|Income From Investments
business end financial force i year,2,414,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_i__count,207,COUNT,Business in force at end of the financial year (I) ('000s),In-Force Policies|Linked Health Business
business end financial force i year,2,414,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_i__inr,207,INR,Business in force at end of the financial year (I) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business end financial force h year,2,408,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_h__count,204,COUNT,Business in force at end of the financial year (H) ('000s),In-Force Policies|Linked Health Business
business end financial force h year,2,408,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_h__inr,204,INR,Business in force at end of the financial year (H) (₹Crore),In-Force Sum Assured|Non Linked Life Business
business end financial force j year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_j__inr,204,INR,Business in force at end of the financial year (J) (₹Crore),In-Force Sum Assured|Non-Linked VIP-General Annuity Business
business end financial force j year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_j__count,202,COUNT,Business in force at end of the financial year (J) ('000s),In-Force Policies|Non-Linked VIP-General Annuity Business
business end financial force k year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_k__inr,204,INR,Business in force at end of the financial year (K) (₹Crore),In-Force Sum Assured|Non-Linked VIP-Pension Business
business end financial force k year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_k__count,202,COUNT,Business in force at end of the financial year (K) ('000s),In-Force Policies|Non-Linked VIP-Pension Business
business end financial force n year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_n__inr,204,INR,Business in force at end of the financial year (N) (₹Crore),In-Force Sum Assured|Linked VIP-General Annuity Business
business end financial force n year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_n__count,202,COUNT,Business in force at end of the financial year (N) ('000s),In-Force Policies|Linked VIP-General Annuity Business
business end financial force o year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_o__inr,204,INR,Business in force at end of the financial year (O) (₹Crore),In-Force Sum Assured|Linked VIP-Pension Business
business end financial force o year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_o__count,202,COUNT,Business in force at end of the financial year (O) ('000s),In-Force Policies|Linked VIP-Pension Business
business end financial force p year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_p__inr,204,INR,Business in force at end of the financial year (P) (₹Crore),In-Force Sum Assured|Linked VIP-Health Business
business end financial force p year,2,406,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_p__count,202,COUNT,Business in force at end of the financial year (P) ('000s),In-Force Policies|Linked VIP-Health Business
business end financial force l year,2,405,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_l__inr,204,INR,Business in force at end of the financial year (L) (₹Crore),In-Force Sum Assured|Non-Linked VIP-Health Business
business end financial force l year,2,405,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_l__count,201,COUNT,Business in force at end of the financial year (L) ('000s),In-Force Policies|Non-Linked VIP-Health Business
business end financial force m year,2,404,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_m__inr,203,INR,Business in force at end of the financial year (M) (₹Crore),In-Force Sum Assured|Linked VIP-Life Business
business end financial force m year,2,404,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_m__count,201,COUNT,Business in force at end of the financial year (M) ('000s),In-Force Policies|Linked VIP-Life Business
business end f financial force year,2,402,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_f__count,201,COUNT,Business in force at end of the financial year ( F) ('000s),In-Force Policies|Linked General annuity business
business end f financial force year,2,402,,DIFFERENT UNITS,,business_in_force_at_end_of_the_financial_year_f__inr,201,INR,Business in force at end of the financial year ( F) (₹Crore),In-Force Sum Assured|Non Linked Life Business
debts doubtful provision,2,303,,SAME-UNIT DUPLICATE,,b_provision_for_doubtful_debts__inr,157,INR,(b) Provision for doubtful debts (₹Lakh),Shareholders Account|Income From Investments
debts doubtful provision,2,303,,SAME-UNIT DUPLICATE,,provision_for_doubtful_debts__inr,146,INR,Provision for doubtful debts (₹Lakh),Policyholders Account|Premiums earned – net
balance beginning year,2,253,,SAME-UNIT DUPLICATE,,a_balance_at_the_beginning_of_the_year__inr,235,INR,(a) Balance at the beginning of the year (₹Lakh),Shareholders Account|Income From Investments
balance beginning year,2,253,,SAME-UNIT DUPLICATE,,balance_at_the_beginning_of_the_year__inr,18,INR,Balance at the beginning of the year (₹Lakh),Policyholders Account|Premiums earned – net
business linked pension,2,3,,DIFFERENT UNITS,,linked_pension_business__inr,2,INR,Linked Pension Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
business linked pension,2,3,,DIFFERENT UNITS,,linked_pension_business__count,1,COUNT,Linked Pension Business ('000s),In-Force Policies|Linked General annuity business
business life linked non vip,2,2,,DIFFERENT UNITS,,non_linked_vip_life_business__count,1,COUNT,Non-Linked VIP-Life Business ('000s),In-Force Policies|Linked Health Business
business life linked non vip,2,2,,DIFFERENT UNITS,,non_linked_vip_life_business__inr,1,INR,Non-Linked VIP-Life Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
claims incurred net,1,7607,,SINGLE,,claims_incurred_net__inr,7607,INR,Claims Incurred (Net),Fire|All Classes / General (All Segments)|All Classes
earned net premium,1,6147,,SINGLE,,net_earned_premium__inr,6147,INR,Net Earned Premium (₹Crore),Fire|All Classes / General (All Segments)|All Classes
claims incurred ratio,1,5959,,SINGLE,,incurred_claims_ratio__percent,5959,PERCENT,Incurred Claims Ratio (Per cent),Fire|All Classes / Health|AB-PMJAY
covered no persons,1,5567,,SINGLE,,no_of_persons_covered__count,5567,COUNT,No. of Persons Covered ('000s),Health Business by Life Insurers - New|Group (excl. Govt) / Health Bus
gross premium,1,5541,,SINGLE,,gross_premium__inr,5541,INR,Gross Premium (₹Lakh),Health Business by Life Insurers - New|Group (excl. Govt) / Health Bus
no policies,1,5541,,SINGLE,,no_of_policies__count,5541,COUNT,No. of Policies (Nos.),Health Business by Life Insurers - New|Group (excl. Govt) / Health Bus
account shareholders transfer,1,1723,,SINGLE,,transfer_to_shareholders_account__inr,1723,INR,Transfer to Shareholders’ Account (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
business expenses insurance operating related,1,1709,,SINGLE,,operating_expenses_related_to_insurance_business__inr,1709,INR,Operating Expenses related to Insurance Business (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
commission,1,1702,,SINGLE,,commission__inr,1702,INR,Commission (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
deficiency premium,1,1682,,SINGLE,,premium_deficiency__inr,1682,INR,Premium Deficiency (₹Crore),General (All Segments)|All Classes / Policyholders Account|Fire
earned net premiums,1,1466,,SINGLE,,premiums_earned_net__inr,1466,INR,Premiums earned (Net) (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
expenses income net other other,1,1415,,SINGLE,,other_income_net_of_other_expenses__inr,1415,INR,Other Income (Net of Other Expenses) (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
investments loss profit redemption sale,1,1411,,SINGLE,,profit_loss_on_sale_redemption_of_investments__inr,1411,INR,Profit/ Loss on sale/redemption of Investments (₹Crore),Policyholders Account|Fire / Policyholders Account|Life
direct gross india premium within,1,1336,,SINGLE,,gross_direct_premium_within_india__inr,1336,INR,Gross Direct Premium (Within India) (₹Crore),Fire|All Classes / Health + PA + Travel|All Classes
companies general health ratio reinsurance solve,1,1332,,SINGLE,,solvency_ratio_of_general_health_and_reinsurance_companies__ratio,1332,RATIO,"Solvency Ratio Of General, Health And Reinsurance Companies",General (All Segments)|All Classes / Health|All Classes
amount benefit,1,1220,,SINGLE,,benefit_amount__inr,1220,INR,Benefit Amount (₹crore),Group Death Claims|Claims Repudiated / Group Death Claims|Claims Uncla
ratio solvency,1,1098,,SINGLE,,solvency_ratio__ratio,1098,RATIO,Solvency Ratio,Life|All Classes / Reinsurance|All Classes
business new premium,1,944,,SINGLE,,new_business_premium__inr,944,INR,New Business Premium (₹Crore),Life Group New Business by Channel (2024-25)|Brokers / Life Group New 
1 181 days year,1,928,,SINGLE,,181_days_to_1_year__count,928,COUNT,181 Days to 1 Year (Nos.),Death Claim Settlement Duration - Group|General / Death Claim Settleme
1 more than year,1,928,,SINGLE,,more_than_1_year__count,928,COUNT,More than 1 Year (Nos.),Death Claim Settlement Duration - Group|General / Death Claim Settleme
180 91 days,1,928,,SINGLE,,91_to_180_days__count,928,COUNT,91 to 180 Days (Nos.),Death Claim Settlement Duration - Group|General / Death Claim Settleme
30 days intimation within,1,928,,SINGLE,,within_30_days_of_intimation__count,928,COUNT,Within 30 Days of Intimation (Nos.),Death Claim Settlement Duration - Group|General / Death Claim Settleme
31 90 days,1,928,,SINGLE,,31_to_90_days__count,928,COUNT,31 to 90 Days (Nos.),Death Claim Settlement Duration - Group|General / Death Claim Settleme
account change credit debit fair value,1,839,,SINGLE,,credit_debit_fair_value_change_account__inr,839,INR,CREDIT/[DEBIT] FAIR VALUE CHANGE ACCOUNT (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
income other,1,814,,SINGLE,,other_income__inr,814,INR,OTHER INCOME (₹Crore),Policyholders Account|Premiums earned – net / Shareholders Account|Gen
no riders,1,781,,SINGLE,,no_of_riders__count,781,COUNT,No. of riders (Nos.),Health Riders on Life Products - New|Group (excl. Govt) / Health Rider
sub total,1,683,,SINGLE,,sub_total_a__inr,683,INR,Sub-Total (A) (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
advances assets other,1,682,,SINGLE,,advances_and_other_assets__inr,682,INR,ADVANCES AND OTHER ASSETS (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
balances bank cash,1,681,,SINGLE,,cash_and_bank_balances__inr,681,INR,CASH AND BANK BALANCES (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
current liabilities,1,680,,SINGLE,,current_liabilities__inr,680,INR,CURRENT LIABILITIES (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
